编码:  --------------------------- 000300 --------------  美联储突然宣布缩表.

缺口: 

日期        总成交量 总成交额  O        C        H        L        涨跌幅 沪股通   深港通
11.09(周四) 1.21亿   1592.47亿 4043.07  4075.90  4076.61  4038.40  +0.69% +17.4亿  +14.1亿  低开震荡收涨.

11.08(周三) 1.51亿   2009.50亿 4051.49  4048.01  4089.15  4040.58  -0.15% +10.8亿  +9.15亿  低开震荡微跌.

11.07(周二) 1.52亿   1939.91亿 4022.40  4054.25  4064.22  4021.36  +0.83% +9.70亿  +6.67亿  微幅高开震荡收涨.  创新高!!!!.

11.06(周一) 1.22亿   1589.12亿 3989.18  4020.89  4021.64  3975.41  +0.71% -0.23亿  +6.56亿  低开震荡收涨.

11.03(周五) 1.29亿   1581.42亿 3992.35  3992.70  3999.34  3963.03  -0.11% -1.89亿  +5.34亿  低开震荡收跌.

11.02(周四) 1.26亿   1519.81亿 3994.09  3997.13  3999.23  3971.38  +0.01% +8.92亿  +7.79亿  低开震荡微涨(收平).

11.01(周三) 1.30亿   1664.77亿 4007.91  3996.62  4032.46  3991.32  -0.25% +16.2亿  +10.5亿  微幅高开震荡收跌.

10.31(周二) 1.09亿   1428.97亿 3995.39  4006.72  4009.28  3983.26  -0.07% -10.4亿  +6.91亿  低开震荡微跌.

10.30(周一) 1.57亿   1934.90亿 4022.16  4009.72  4033.34  3960.27  -0.30% -12.6亿  +2.40亿  微幅高开震荡收跌. 黑色星期一.

10.27(周五) 1.27亿   1529.75亿 3992.55  4021.97  4024.46  3991.35  +0.71% +1.27亿  +2.15亿  微幅低开震荡大涨.

10.26(周四) 1.30亿   1704.89亿 3980.05  3993.58  4013.60  3973.55  +0.42% +14.5亿  +2.42亿  高开震荡收涨. 创新高.

10.25(周三) 8821万   1068.20亿 3958.17  3976.95  3978.09  3954.00  +0.44% +2.87亿  +3.28亿  微幅低开震荡收涨. 创新高.

10.24(周二) 9306万   1201.92亿 3926.23  3959.40  3959.50  3922.03  +0.73% -22.1亿  -9.43亿  低开震荡收涨. 创新高.

10.23(周一) 8148万   1002.81亿 3930.89  3930.80  3936.27  3920.66  +0.10% -11.8亿  -1.90亿  高开震荡微跌.

10.20(周五) 7298万   945.30亿  3918.53  3926.85  3928.96  3910.20  -0.11% -1.26亿  +0.91亿  低开震荡收跌.

10.19(周四) 1.07亿   1331.90亿 3940.58  3931.25  3944.03  3923.65  -0.33% -0.95亿  +1.68亿  低开震荡收跌

10.18(周三) 1.01亿   1264.20亿 3914.82  3944.16  3944.41  3914.82  +0.79% -6.51亿  +2.23亿  微幅高开震荡收涨.

10.17(周二) 8224万   1067.08亿 3910.79  3913.07  3924.61  3900.48  -0.01% +2.19亿  +15.9亿  低开震荡收平.

10.16(周一) 1.21亿   1508.24亿 3926.28  3913.45  3947.42  3913.32  -0.19% +3.64亿  +12.1亿  高开震荡微涨.今日创业板黑色星期一.

10.13(周五) 9014万   1143.15亿 3912.98  3921.00  3927.17  3908.89  +0.21% -6.74亿  +10.8亿  平开震荡微涨.

10.12(周四) 9434万   1231.47亿 3902.02  3912.95  3917.44  3897.55  +0.26% -4.07亿  +8.94亿  平开震荡微涨.

10.11(周三) 1.04亿   1441.53亿 3886.82  3902.69  3913.07  3885.50  +0.33% +5.58亿  +11.5亿  低开震荡收涨.

10.10(周二) 1.13亿   1579.80亿 3883.00  3889.86  3900.74  3855.47  +0.20% +24.7亿  +17.5亿  微幅高开震荡微涨. 28现象.

10.09(周一) 1.36亿   1719.41亿 3910.11  3882.21  3918.84  3876.03  +1.19% +47.1亿  +29.7亿  大幅高开震荡大涨. 量能放大. 有大缺口. 3852.22--3876.03

09.29(周五) 9330万   1160.57亿 3825.20  3836.50  3852.22  3825.20  +0.37% +4.55亿  +7.78亿  高开震荡收涨

09.28(周四) 9354万   1156.46亿 3821.59  3822.54  3827.33  3813.75  +0.04% -1.58亿  -1.38亿  微幅高开震荡微涨(收平)

09.27(周三) 8565万   1092.99亿 3818.96  3821.20  3832.57  3818.81  +0.01% -1.42亿  +8.76亿  低开震荡微涨(收平)

09.26(周二) 8186万   1010.36亿 3810.33  3820.78  3821.69  3808.38  +0.08% -1.01亿  +2.12亿  低开震荡微涨

09.25(周一) 1.04亿   1359.80亿 3829.22  3817.79  3835.39  3811.12  -0.52% -18.3亿  +1.57亿  低开震荡收跌

09.22(周五) 1.01亿   1283.61亿 3826.46  3837.73  3842.25  3816.82  -0.00% -4.40亿  +10.5亿  低开震荡收平

09.21(周四) 1.11亿   1441.33亿 3843.26  3837.82  3860.80  3837.38  -0.12% +8.79亿  +4.06亿  微幅高开震荡微跌

09.20(周三) 1.01亿   1350.42亿 3830.15  3842.44  3850.94  3827.89  +0.27% +9.85亿  +11.6亿  低开震荡收涨

09.19(周二) 1.12亿   1455.28亿 3849.88  3832.12  3857.30  3820.29  -0.29% -0.88亿  +3.31亿  高开震荡收涨

09.18(周一) 1.18亿   1528.41亿 3832.96  3843.14  3862.36  3832.96  +0.31% +25.9亿  +19.1亿  微幅高开震荡收涨. 今日普涨.

09.15(周五) 1.22亿   1534.77亿 3826.14  3831.30  3843.30  3818.52  +0.03% +2.03亿  -0.99亿  低开震荡微涨. 数据与9.1 极其相似

09.14(周四) 1.15亿   1431.12亿 3843.57  3829.96  3854.49  3820.09  -0.33% -2.35亿  +3.87亿  微幅高开震荡收跌

09.13(周三) 9541万   1262.54亿 3835.55  3842.61  3847.78  3822.94  +0.12% -2.82亿  +6.35亿  低开震荡收涨

09.12(周二) 1.44亿   1876.05亿 3832.24  3837.93  3849.39  3822.00  +0.32% +18.2亿  +7.50亿  高开震荡收涨. 量能放大.

09.11(周一) 1.24亿   1547.94亿 3828.34  3825.65  3850.74  3817.51  -0.01% +18.2亿  +3.10亿  高开震荡收平.

09.08(周五) 1.06亿   1349.59亿 3830.07  3825.99  3843.02  3813.98  -0.10% -2.55亿  +8.22亿  平开震荡微跌

09.07(周四) 1.24亿   1561.13亿 3851.69  3829.87  3858.16  3828.84  -0.51% +2.24亿  +8.10亿  微幅高开震荡收涨

09.06(周三) 1.31亿   1558.83亿 3846.75  3849.45  3858.25  3831.38  -0.20% +0.82亿  +2.09亿  低开震荡收跌

09.05(周二) 1.25亿   1457.80亿 3845.55  3857.05  3865.29  3841.95  +0.30% +1.63亿  +8.96亿  平开震荡收涨

09.04(周一) 1.50亿   1755.51亿 3828.54  3845.62  3847.09  3813.55  +0.39% +6.07亿  +13.2亿  低开震荡收涨

09.01(周五) 1.59亿   1827.70亿 3825.34  3830.54  3843.62  3818.16  +0.22% +22.8亿  +20.6亿  高开震荡收涨

08.31(周四) 1.33亿   1570.79亿 3835.84  3822.09  3840.20  3800.89  -0.32% +11.9亿  +7.84亿  微幅高开震荡收跌.

08.30(周三) 1.41亿   1662.35亿 3834.27  3834.30  3854.71  3827.86  -0.01% +23.0亿  +11.4亿  微服低开冲高震荡回落微跌(视作收平).

08.29(周二) 1.28亿   1589.79亿 3839.18  3834.54  3847.93  3825.76  -0.21% +9.11亿  +9.21亿  低开震荡收跌.正常调整.

08.28(周一) 1.86亿   2364.46亿 3805.66  3842.71  3866.94  3805.66  +1.24% +19.1亿  +19.6亿  高开冲高震荡大涨. 红色星期一,普涨. 留下缺口！！！

08.25(周五) 1.30亿   1506.97亿 3736.29  3795.75  3795.97  3736.29  +1.64% +17.2亿  +14.5亿  微幅高开震荡暴涨. 突破3300了. 金融领涨

08.24(周四) 8994万   1077.36亿 3755.89  3734.65  3765.71  3729.09  -0.57% +7.59亿  +5.91亿  微幅低开震荡收跌

08.23(周三) 1.05亿   1240.81亿 3747.61  3756.09  3772.46  3741.72  +0.10% +0.00亿  +0.00亿  低开震荡微涨

08.22(周二) 1.00亿   1311.31亿 3745.75  3752.30  3758.29  3734.56  +0.30% -2.02亿  +3.05亿  高开震荡收涨

